Name,State,Profits,Revenues,Latitude,Longitude
Chevron,California,2924.0,146516.0,37.2718745,-119.2704153
Cardinal Health,Ohio,1363.0,145534.0,40.1903624,-82.6692525
JPMorgan Chase,New York,36431.0,142422.0,40.7056258,-73.97968
General Motors,Michigan,6732.0,137237.0,44.9435598,-86.4158049
Walgreens Boots Alliance,Illinois,3982.0,136866.0,39.739318,-89.504139
Verizon Communications,New York,19265.0,131868.0,40.7056258,-73.97968
Microsoft,Washington,39240.0,125843.0,38.8993487,-77.0145665
Marathon Petroleum,Ohio,2637.0,124813.0,40.1903624,-82.6692525
Kroger,Ohio,1659.0,122286.0,40.1903624,-82.6692525
Fannie Mae,District Of Columbia,14160.0,120304.0,38.8993487,-77.0145666
Bank of America,North Carolina,27430.0,113589.0,35.2145629,-79.8912675
Home Depot,Georgia,11242.0,110225.0,32.6781248,-83.2229757
Phillips 66,Texas,3076.0,109559.0,31.1693363,-100.0768425
Comcast,Pennsylvania,13057.0,108942.0,40.9945928,-77.6046984
Anthem,Indiana,4807.0,104213.0,39.7662195,-86.441277
Wells Fargo,California,19549.0,103915.0,37.2718745,-119.2704153
Citigroup,New York,19401.0,103449.0,40.7056258,-73.97968
Valero Energy,Texas,2422.0,102729.0,31.1693363,-100.0768425
General Electric,Massachusetts,-4979.0,95214.0,42.0629398,-71.718067
Dell Technologies,Texas,4616.0,92154.0,31.1693363,-100.0768425
Johnson & Johnson,New Jersey,15119.0,82059.0,40.1430058,-74.7311156
State Farm Insurance,Illinois,5592.7,79395.0,39.739318,-89.504139
Target,Minnesota,3281.0,78112.0,46.4418595,-93.3655146
International Business Machines,New York,9431.0,77147.0,40.7056258,-73.97968
Raytheon Technologies,Massachusetts,5537.0,77046.0,42.0629398,-71.718067
Boeing,Illinois,-636.0,76559.0,39.739318,-89.504139
Freddie Mac,Virginia,7214.0,75125.0,38.0033855,-79.4587861
Centene,Missouri,1321.0,74639.0,38.3046615,-92.437099
United Parcel Service,Georgia,4440.0,74094.0,32.6781248,-83.2229757
Lowe's,North Carolina,4281.0,72148.0,35.2145629,-79.8912675
